name,ticker,isin,productType,currency
Invesco MDAX UCITS ETF,DEAM,IE00BHJYDV33,ETF,EUR
Invesco Morningstar US En Infra MLP UCITS ETF Acc,SML2,IE00B94ZB998,ETF,EUR
Invesco Morningstar US En Infra MLP UCITS ETF Acc,MLPQ,IE00B94ZB998,ETF,GBX
Invesco Morningstar US En Infra MLP UCITS ETF Acc,MLPS,IE00B94ZB998,ETF,USD
Invesco Morningstar US En Infra MLP UCITS ETF Dist,SMLD,IE00B8CJW150,ETF,EUR
Invesco Morningstar US En Infra MLP UCITS ETF Dist,SML1,IE00B8CJW150,ETF,EUR
Invesco Morningstar US En Infra MLP UCITS ETF Dist,MLPD,IE00B8CJW150,ETF,USD
Invesco Morningstar US En Infra MLP UCITS ETF Dist,MLPP,IE00B8CJW150,ETF,GBX
Invesco Morningstar US En Infra MLP UCITS ETF Dist,MLPD,IE00B8CJW150,ETF,EUR
Invesco MSCI China All Shrs Stk Cnnct UCITS ETFAcc,MCHN,IE00BK80XL30,ETF,USD
Invesco MSCI China All Shrs Stk Cnnct UCITS ETFAcc,MCHN,IE00BK80XL30,ETF,EUR
StSt SPDR S&P 500 UCITS ETF Acc,SPYL,IE000XZSV718,ETF,EUR
StSt SPDR S&P 500 UCITS ETF Acc,SPYL,IE000XZSV718,ETF,EUR
StSt SPDR S&P 500 UCITS ETF Acc,SPYL,IE000XZSV718,ETF,EUR
StSt SPDR S&P 500 UCITS ETF Acc,SPYL,IE000XZSV718,ETF,USD
StSt SPDR S&P 500 UCITS ETF Dist,SPY5,IE00B6YX5C33,ETF,EUR
StSt SPDR S&P 500 UCITS ETF Dist,SPY5,IE00B6YX5C33,ETF,EUR
StSt SPDR S&P 500 UCITS ETF Dist,SPX5,IE00B6YX5C33,ETF,GBP
StSt SPDR S&P 500 UCITS ETF Dist,SPY5,IE00B6YX5C33,ETF,USD
StSt SPDR S&P 500 UCITS ETF Dist,SPY5,IE00B6YX5C33,ETF,EUR
